epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.012476,0.452530,2.37680,0.56040,
002,0.586665,0.219687,2.72567,0.51160,
003,0.487068,0.176557,2.01080,0.55400,
004,0.437107,0.156157,4.08010,0.59180,
005,0.404933,0.143104,0.50078,0.18540,
006,0.382082,0.134896,2.72548,0.55980,
007,0.367401,0.129270,0.76771,0.27880,
008,0.353672,0.123774,1.14408,0.35620,
009,0.342055,0.118809,1.23873,0.35920,
010,0.333444,0.115383,0.57535,0.22000,
011,0.325869,0.113965,2.24929,0.50500,
012,0.319619,0.111461,0.52572,0.17760,
013,0.314710,0.109270,0.44656,0.16160,
014,0.309373,0.107017,1.03549,0.36260,
015,0.304982,0.106104,0.52747,0.18980,
016,0.301617,0.105104,2.00850,0.48180,
017,0.296863,0.102435,0.43406,0.15180,
018,0.292765,0.101600,0.60867,0.20940,
019,0.288411,0.100078,1.04730,0.31740,
020,0.285392,0.099139,0.69433,0.23220,
021,0.284356,0.099226,0.40188,0.14160,
022,0.278934,0.096722,1.14608,0.33420,
023,0.275928,0.096652,0.41642,0.14420,
024,0.275142,0.095922,2.36701,0.52160,
025,0.272745,0.095591,0.39983,0.14660,
026,0.270508,0.093357,0.38575,0.13420,
027,0.266181,0.094348,0.43771,0.14720,
028,0.265201,0.092574,1.11993,0.33220,
029,0.263854,0.092791,0.40697,0.14560,
030,0.260273,0.090983,1.06336,0.34640,
031,0.259201,0.090643,0.74989,0.25540,
032,0.257989,0.090687,0.36419,0.12880,
033,0.254764,0.089661,1.24595,0.34520,
034,0.250609,0.087757,0.40263,0.13760,
035,0.251337,0.087513,0.85383,0.27880,
036,0.249776,0.088478,0.90088,0.25880,
037,0.247217,0.087470,0.39175,0.13280,
038,0.247598,0.087870,0.72907,0.21560,
039,0.244826,0.086861,0.35562,0.12480,
040,0.243801,0.085470,2.29982,0.52840,
041,0.241301,0.085313,0.62141,0.22740,
042,0.238879,0.083939,0.60681,0.21580,
043,0.242333,0.084678,0.37540,0.12740,
044,0.236549,0.084096,1.60183,0.44200,
045,0.236396,0.083496,0.94101,0.29540,
046,0.234569,0.082078,0.38131,0.13060,
047,0.230640,0.081600,2.09479,0.37420,
048,0.233407,0.082470,0.81065,0.25620,
049,0.230938,0.081565,0.41503,0.13900,
050,0.229514,0.081652,3.65396,0.60960,
051,0.227189,0.080974,2.03412,0.39880,
052,0.226649,0.080939,0.40400,0.14480,
053,0.224876,0.080530,3.92657,0.64420,
054,0.223348,0.078426,1.66727,0.44740,
055,0.225372,0.080583,0.87510,0.24160,
056,0.228242,0.079939,0.48735,0.16680,
057,0.221617,0.079652,0.85699,0.27100,
058,0.219879,0.078139,0.59744,0.20040,
059,0.219515,0.078591,1.12070,0.33860,
060,0.216194,0.076513,2.75059,0.49960,
061,0.212878,0.075835,0.43000,0.14140,
062,0.219583,0.078174,0.48619,0.16220,
063,0.212712,0.076043,0.41175,0.14460,
064,0.212970,0.075913,1.22109,0.34120,
065,0.209503,0.075200,0.88986,0.27580,
066,0.210971,0.075330,0.51760,0.16600,
067,0.214174,0.076591,0.70475,0.21640,
068,0.209038,0.075209,0.89056,0.26320,
069,0.208812,0.074243,1.13733,0.35020,
070,0.206424,0.074670,0.57134,0.19600,
071,0.206121,0.074226,1.01545,0.33860,
072,0.203187,0.072609,0.37828,0.13220,
